id,stateID,name_ar,name_en,capitalCity,logo,population
234,183,المحلة الكبرى,,,,466369.0
235,183,كفر الزيات,,,,79701.0
236,183,زفتى,,,,100908.0
237,183,السنطة,,,,36305.0
238,183,قطور,,,,25184.0
239,183,بسيون,,,,59744.0
240,183,سمنود,,,,59720.0
241,184,كفر الشيخ,,,,146226.0
242,184,دسوق,,,,106367.0
243,184,فوه,,,,64290.0
244,184,مطوبس,,,,31193.0
245,184,بلطيم,,,,43398.0
246,184,مصيف بلطيم,,,,
247,184,الحامول,,,,49369.0
248,184,بيلا,,,,67211.0
249,184,الرياض,,,,17933.0
250,184,سيدي سالم,,,,52055.0
251,184,قلين,,,,36710.0
252,184,سيدي غازي,,,,23320.0
253,184,برج البرلس,,,,41775.0
254,184,مسير,,,,29613.0
255,185,شبين الكوم,,,,188309.0
256,185,مدينة السادات,,,,23200.0
257,185,منوف,,,,94020.0
258,185,سرس الليان,,,,52992.0
259,185,أشمون,,,,86466.0
260,185,الباجور,,,,38797.0
261,185,قويسنا,,,,45362.0
262,185,بركة السبع,,,,36072.0
263,185,تلا,,,,53996.0
264,185,الشهداء,,,,50953.0
265,186,الإسماعيلية,,,,303527.0
266,186,فايد,,,,19709.0
267,186,القنطرة شرق,,,,15834.0
268,186,القنطرة غرب,,,,20314.0
269,186,التل الكبير,,,,40555.0
270,186,أبو صوير المحطة,,,,25545.0
271,186,القصاصين الجديدة,,,,15433.0
272,187,بورسعيد,,,,475076.0
273,187,بورفؤاد,,,,70712.0
274,188,السويس,,,,498476.0
275,189,الزقازيق,,,,318393.0
276,189,العاشر من رمضان,,,,29601.0
277,189,منيا القمح,,,,67450.0
278,189,بلبيس,,,,141285.0
279,189,مشتول السوق,,,,47153.0
280,189,القنايات,,,,59522.0
281,189,أبو حماد,,,,36592.0
282,189,القرين,,,,64559.0
283,189,ههيا,,,,43672.0
284,189,أبو كبير,,,,104100.0
